"code","iso","country","AGSUB.1955","AGSUB.1956","AGSUB.1957","AGSUB.1958","AGSUB.1959","AGSUB.1960","AGSUB.1961","AGSUB.1962","AGSUB.1963","AGSUB.1964","AGSUB.1965","AGSUB.1966","AGSUB.1967","AGSUB.1968","AGSUB.1969","AGSUB.1970","AGSUB.1971","AGSUB.1972","AGSUB.1973","AGSUB.1974","AGSUB.1975","AGSUB.1976","AGSUB.1977","AGSUB.1978","AGSUB.1979","AGSUB.1980","AGSUB.1981","AGSUB.1982","AGSUB.1983","AGSUB.1984","AGSUB.1985","AGSUB.1986","AGSUB.1987","AGSUB.1988","AGSUB.1989","AGSUB.1990","AGSUB.1991","AGSUB.1992","AGSUB.1993","AGSUB.1994","AGSUB.1995","AGSUB.1996","AGSUB.1997","AGSUB.1998","AGSUB.1999","AGSUB.2000","AGSUB.2001","AGSUB.2002","AGSUB.2003","AGSUB.2004","AGSUB.2005","AGSUB.2006","AGSUB.2007","AGSUB.2008","AGSUB.2009","AGSUB.2010","AGSUB.2011"
212,"DMA","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"DOM","Dominican Republic",-0.2187374,-0.0885414,-0.22292,-0.0294041,0.0087706,-0.073455,0.006772,-0.0832609,-0.1672665,0.045713,0.1311169,0.0076877,0.0614103,0.055478,-0.0047766,-0.143434,-0.021759,-0.1425494,-0.2229127,-0.3737849,-0.4278364,-0.137393,-0.2018068,-0.1669055,-0.1259488,-0.2553701,-0.2110859,-0.1350471,-0.4113362,-0.5240561,-0.2456747,-0.4112915,-0.4337863,-0.2514004,-0.4760328,-0.2032894,-0.124635,0.1279254,0.1580461,-0.0095669,0.086451,0.1253217,0.0848099,0.1049447,0.0583873,0.1991886,0.0929555,0.0266206,-0.243093,0.0506437,0.2809476,-0.0328078,0.1883284,-0.0592948,0.0951151,0.4304348,NA
218,"ECU","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0732085,-0.1048922,-0.0723242,-0.1335419,-0.1507214,-0.2341906,-0.2469281,-0.225793,-0.2639332,-0.1844307,-0.1674097,-0.2384876,-0.0885029,-0.0708399,-0.0483331,0.0225585,0.1480059,0.0984862,0.0720683,0.0978946,0.0463794,0.0025494,-0.1229279,-0.0736928,-0.0952319,-0.0779967,-0.1371414,0.0443721,-0.0006015,0.0467173,-0.0012486,-0.0607914,0.0443789,-0.1297923,-0.0099291,0.1517347,0.2187493,0.0453005,-0.4454921,-0.2394616,-0.2372582,-0.3028822,-0.2407897,-0.2191545,-0.20746,NA
818,"EGY","Egypt",-0.2735034,-0.2578941,-0.2353487,-0.2046463,-0.1874388,-0.2480654,-0.3622154,-0.3441063,-0.3644251,-0.3768247,-0.4103916,-0.3768401,-0.3076746,-0.3722326,-0.417031,-0.3657896,-0.3831479,-0.3368879,-0.4068662,-0.3827621,-0.2722839,-0.1475593,-0.0510026,-0.0393841,-0.2844635,-0.2464088,-0.2794864,-0.1745308,0.0958104,0.1462031,-0.1008005,0.4413284,0.8093626,0.8603789,0.8201696,-0.1013349,0.0514305,-0.1466029,-0.0746676,-0.033227,-0.0118032,-0.0616244,0.0676492,0.1044609,0.101012,0.0364407,-0.056268,-0.1578263,-0.0510556,-0.0753887,-0.0260274,-0.0501121,-0.0502146,-0.0527076,-0.0008822,0.0116821,NA
222,"SLV","El Salvador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,"GNQ","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3767142,-0.1957629,-0.0581337,0.0800022,0.1289787,0.1361127,0.406589,0.1254833,0.1509746,0.1345787,0.232905,0.300055,1.1343489,0.2255304,0.2094719,0.1108585,0.0831173,0.0887541,0.0685658,0.0515608
231,"ETH","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.152215,-0.1756274,-0.1638761,-0.2070493,-0.2359648,-0.1999971,-0.2378852,-0.245609,-0.1967309,-0.2258826,-0.2618464,-0.2690898,-0.2363521,-0.2246582,-0.1861467,-0.1891018,-0.1817512,-0.1603509,-0.1702883,-0.1625433,-0.0925153,-0.1240562,-0.0970516,-0.082406,-0.0325515,-0.4238103,0.2136834,0.205753,0.2693645,-0.4975828,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,"FIN","Finland",NA,0.6940253,0.8625305,0.783199,0.8982452,0.7391439,1.005311,1.079273,0.939551,0.8844327,0.9670356,0.9058261,0.9772699,1.161727,1.048126,0.959848,0.9917521,0.7363742,0.5044491,0.4780447,0.6780481,0.6161385,0.7347924,0.8023053,0.9281611,0.3182724,0.4222212,0.4590693,0.3671823,0.2796002,0.7513285,1.481863,1.606977,1.566351,1.366397,1.539716,1.487108,1.260145,1.180513,1.24523,0.4307718,0.380071,0.4318731,0.6332337,0.7155499,0.4274709,0.3415996,0.4197073,0.4358303,0.4100929,0.2384152,0.1981774,0.102023,0.0879551,0.0942868,0.0728847,0.0525754
250,"FRA","France",NA,0.2660907,0.398066,0.6365011,0.347902,0.1261188,0.2723285,0.7885364,0.7379437,0.6741733,0.7216551,0.7072763,0.7109392,0.8078458,0.7534264,0.6063153,0.7229479,0.5692887,0.2298106,0.153143,0.3654318,0.5029705,0.4960459,0.5647862,0.681572,0.5859045,0.7191927,0.8118951,0.9061055,0.7160534,0.6934477,1.128277,1.165357,0.8003935,0.4934933,0.655638,0.8783299,0.6398638,0.618368,0.5241745,0.423629,0.3029425,0.3447472,0.4512831,0.5229408,0.3363833,0.2899735,0.3418719,0.3804178,0.3225158,0.1824238,0.1622467,0.1334069,0.0878289,0.0924333,0.063239,0.0483986
254,"GUF","French Guiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,"GMB","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,"DEU","Germany",NA,0.457369,0.4969969,0.5703062,0.556588,0.5464674,0.6466237,1.111943,0.9409347,0.8577007,1.00209,0.969127,0.9144254,1.009007,0.9757158,0.8550326,0.8949755,0.7150394,0.3892468,0.255739,0.4773972,0.8252296,0.6410148,0.6365068,0.8031531,0.6369086,0.8621137,0.9346263,1.151712,0.8462956,0.7966493,1.122123,1.011334,0.7647759,0.4610345,0.5915101,0.7900349,0.5757136,0.617918,0.5357952,0.432863,0.3476233,0.3862222,0.5251591,0.6199883,0.3940637,0.3151447,0.4078238,0.4297279,0.3590143,0.2092108,0.1767424,0.1410922,0.0922281,0.0921325,0.0661087,0.050137
288,"GHA","Ghana",-0.0149538,-0.0068129,-0.0177673,-0.0995221,-0.0786844,-0.0534508,0.0070906,-0.091769,-0.1446306,-0.1649575,-0.1512526,-0.1727892,-0.2152254,-0.2273249,-0.2220133,-0.1868145,-0.0317861,-0.1191228,-0.1981308,-0.20953,-0.1794113,-0.274151,-0.3032504,-0.2197681,-0.3025567,-0.1366942,-0.3211119,-0.3841453,NA,-0.0053107,-0.1424736,-0.1547092,0.0002698,-0.0017128,-0.0167741,-0.0239666,0.0167431,0.0015173,-0.0174062,-0.0641111,-0.037319,-0.053496,-0.0238252,-0.0169784,-0.0171367,-0.049676,0.0150518,0.0103166,-0.0370307,-0.0061958,0.0499386,0.0191635,-0.0333601,-0.0602137,-0.0776636,-0.0432775,NA
292,"GIB","Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,"GRC","Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689284,0.8763387,0.8639606,0.6564128,0.4555042,0.9035962,0.7081397,0.7341195,0.5135827,0.5988855,0.7369619,0.5282238,0.6331365,0.5592416,0.4281232,0.3988674,0.4047612,0.55608,0.6830925,0.4506135,0.3400042,0.4034693,0.4585305,0.4269863,0.171087,0.1548811,0.1675088,0.1159177,0.1118594,0.082058,0.0524329
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"GLP","Guadeloupe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,"GUM","Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
624,"GNB","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,"GUY","Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,"HTI","Haiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1579611,0.2796544,0.2368882,0.0738322,0.0657691,0.0653922,0.2573776,0.3279859,0.2598884,0.2275115,0.4459533,0.4281583,0.3124051,0.207868,0.1781768,0.141209,0.0735672,0.0830595,0.0686922,0.0498952
352,"ISL","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.287425,2.434259,2.016689,2.817888,2.424942,2.89505,3.903066,3.032492,4.049031,3.214625,2.639896,3.449182,3.944451,3.095055,2.159134,1.792674,1.789306,1.227786,1.211849,2.177432,2.231519,1.49431,1.217289,1.495031,1.456583,1.528258,1.7815,1.589755,1.211147,0.8037246,0.6749808,0.6186576,0.5832574
356,"IND","India",0.0006851,0.0006851,0.0006851,0.0006851,0.0006851,0.0006851,0.0006851,0.0006851,0.0006851,0.0006851,0.203699,-0.0249026,-0.0496959,-0.1260875,0.0004125,0.076702,0.1704544,0.1890789,-0.0634527,-0.363585,-0.2839523,-0.0131193,0.0461873,-0.0617089,0.0338636,-0.0883672,-0.1474658,0.0552277,0.1296565,0.1472367,0.2862936,0.3175302,0.4258496,0.1391777,0.0762988,0.1580401,-0.0003206,-0.1217661,0.0105398,0.0436043,-0.0745109,-0.0691094,-0.0168413,0.111387,0.0818303,0.0930186,0.1676933,0.2596414,0.1554428,0.1108812,0.0661012,0.2307366,0.2519318,-0.0477211,0.1552117,0.1389595,NA
360,"IDN","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0275086,0.0636501,0.0166325,-0.0889747,-0.0922469,0.1200846,0.1811314,0.1745841,0.02747,-0.0386852,-0.0357831,0.0770867,0.2214239,0.1231659,0.0743537,0.1028327,0.0798149,-0.0566066,-0.0903092,-0.1218268,-0.0560319,-0.0786451,-0.0663969,-0.0591161,-0.0685514,-0.1076108,-0.0953414,-0.0578914,-0.2182162,0.0501013,0.1264738,0.1379875,0.1175148,0.1367366,0.0566247,0.0085504,0.149342,0.1351868,-0.1175165,0.0185345,0.2020316,NA
364,"IRN","Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,"IRQ","Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,"IRL","Ireland",NA,0.1359802,0.2340377,0.1904629,0.2572491,0.1699,0.4835837,0.5426175,0.4273827,0.4054725,0.4997357,0.4432292,0.4737065,0.5758235,0.4479102,0.3947599,0.429278,0.2785181,0.6616739,0.4007848,0.5909447,1.015398,0.8334251,0.842235,0.9079816,0.7306584,0.9808995,1.096792,1.627864,1.407795,1.501272,1.733798,1.662396,1.022958,0.6643524,0.8726231,1.051053,0.8115886,0.7301298,0.680997,0.6070449,0.5091696,0.6261078,0.7784653,0.8509634,0.5835468,0.529171,0.6978573,0.7121606,0.5515921,0.4927405,0.3588775,0.1862016,0.1337721,0.1569838,0.0769354,0.0574683
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2043786,0.2406562,0.3068448,0.2925594,0.327692,0.3476602,0.2711175,0.2026223,0.1231527,0.114114,0.1364065,0.0935084,-0.0198301,0.2027441,0.1627374,0.1665646,0.1336689
380,"ITA","Italy",NA,0.0336071,-0.005774,0.1996662,-0.02031,0.0047186,0.108932,0.572476,0.5328607,0.4821114,0.54041,0.5104914,0.4911232,0.5727329,0.5162929,0.4325713,0.5181409,0.44732,0.1715332,0.1213213,0.2587805,0.3894158,0.3883694,0.4047434,0.5037408,0.4612891,0.5885158,0.7136754,0.7195587,0.6442177,0.5956006,0.795224,0.7983805,0.6148439,0.3825178,0.4757207,0.5696667,0.4775352,0.4754167,0.4169466,0.3613973,0.2661121,0.3073501,0.3444896,0.3862682,0.2627404,0.2503807,0.2962577,0.3089131,0.2681869,0.1283255,0.1181428,0.102617,0.1020094,0.0969505,0.0740725,0.0534687
388,"JAM","Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,"JPN","Japan",0.1697142,0.3357721,0.4332484,0.4854273,0.5160004,0.5458465,0.4674286,0.3647431,0.4743148,0.4352986,0.4892911,0.479156,0.4518152,0.5376678,0.5622692,0.5704427,0.5367354,0.5943175,0.4512567,0.191071,0.3927218,0.5419448,0.720808,0.8943968,0.7923374,0.639662,0.6890415,0.6644358,0.7796199,0.8916976,0.9706626,1.36849,1.309306,1.243144,1.06026,0.9025791,0.9518428,1.117115,1.12319,1.72148,1.400647,1.160264,1.058516,1.054556,1.305272,1.410731,1.193728,1.153895,1.030994,1.228327,0.882633,0.8560978,0.6779615,0.7778128,0.7743899,0.8201066,0.7979543
400,"JOR","Jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,"KAZ","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1710068,0.5537663,0.1589151,0.576214,0.3461351,0.3492284,0.1377212,0.3712125,-0.1822789,-0.0759794,0.243118,0.2530476,0.0027932,-0.0440898,0.2768671,0.1785283,0.1673196
404,"KEN","Kenya",NA,0.234525,0.26314,0.3203875,0.2470571,0.2894141,0.0386944,0.2163918,0.3410464,0.2627537,-0.0374934,-0.060255,0.2233423,0.231822,0.1290563,-0.0950583,-0.2281841,-0.0341355,-0.0961979,-0.134643,0.0441534,0.1016162,-0.2051156,-0.153878,0.1303018,-0.2320178,-0.1886881,-0.3049597,-0.155933,-0.0466851,0.1097637,0.1271744,0.2130915,-0.0908228,0.1678138,0.0201512,-0.0780118,0.0698584,-0.3090218,0.0054561,-0.0176778,-0.0086446,0.0416247,-0.0276765,0.1310637,0.0525842,0.1577255,0.0683582,0.085625,0.0991301,0.0570692,0.0042873,-0.026149,-0.0178789,0.0047707,-0.0250526,NA
296,"KIR","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,"KGZ","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,"LAO","Laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,"LVA","Latvia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4549643,-0.2439783,0.0676102,0.0316142,0.0514088,0.1377061,0.4807672,0.5413236,0.3795327,0.4015789,0.3500991,0.3094636,0.7321554,0.20094,0.1869689,0.0945283,0.0855108,0.0913818,0.070018,0.0558959
422,"LBN","Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,"LSO","Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,"LBR","Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
